contract_id,summary,termination_clause,confidentiality_clause,liability_clause,source_path
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,"This Co-Branding Agreement, dated March 29, 2001, between Integrity Media Inc. and a third party (TL), outlines the terms for a partnership to co-brand certain products. The key obligations of Integrity Media Inc. include providing the rights to co-brand the products, ensuring no restrictions on the materials or properties furnished, and paying royalties for the co-branded products. TL, on the other hand, is responsible for purchasing a minimum quantity of the co-branded products, using them for promotion, and maintaining confidentiality of disclosed information. Notable risks or penalties include the termination of the agreement if either party assigns their rights to an unrelated third party, and potential liability limitations, with neither party being liable for indirect, special, incidental, or consequential damages, and total liability not exceeding the fees paid in the past 12 months.","This Agreement can be terminated by either party with a six-months written notice if there is an assignment of rights to an unrelated third party. The other party must be given written notice, and in such a case, the other party can also terminate the Agreement with another six-months written notice.",The receiving party must keep confidential all disclosed confidential information and use it only for the purpose of performing under the agreement. Disclosures are limited to need-to-know employees bound by similar confidentiality obligations.,"Neither party will be liable for indirect, special, incidental, or consequential damages, including loss of profits. The total liability of each party for claims arising from this Agreement will not exceed the fees paid in the past 12 months.",dataset\IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,"This Co-Branding Agreement between Invenda Corp and Excite@Home, filed with the Securities and Exchange Commission, outlines the terms for a co-branded application. The primary purpose is to establish the rights and responsibilities for the distribution and maintenance of the co-branded application.

Invenda Corp warrants ownership of the content provided and compliance with the description and technical specifications. Excite@Home is responsible for the hosting and maintenance of the application at agreed-upon rates.

Both parties agree to maintain the confidentiality of each other's proprietary and confidential information. There is a limitation of liability, but certain exceptions apply. In the event of termination, each party will return all confidential information of the other party and pay all earned and undisputed outstanding amounts owed.

The agreement also includes provisions for publicity, indemnities, post-termination communications, and dispute resolution. Certain sections, such as terms, modifications, and payments, have been redacted due to confidential treatment requests.","Upon termination, each party will return all confidential information of the other party.","The parties must keep confidential any proprietary and confidential information about each other's business, financial, technical, or other information marked or designated as such, or information that, by the nature of the circumstances, should be treated as confidential. Confidential information does not include information that is already in the public domain, received from a third party without an obligation to keep it confidential, or independently developed by the receiving party.","Limitation of Liability: Except as specified in Sections 19(a)(iii)(2), (a)(iii)(3), (b)(iii)(2) and (b)(iii)(3), there is a limitation of liability.",dataset\InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement,"This Co-Branding Agreement, dated April 27, 2000, between LeadersOnline and VerticalNet, outlines their collaboration for co-branding and marketing services. The agreement specifies that neither party will be considered an employer, agent, joint venture, or partner of the other. Key obligations include maintaining confidentiality, providing services, and granting licenses. Upon termination, both parties jointly own User Data, which must be used in accordance with VerticalNet's privacy policy and applicable laws. Notable risks and penalties include liability limitations for indirect, consequential, or incidental damages, and potential breach of confidentiality provisions, which may result in irreparable harm and the agreement's continued enforcement.",This Agreement can be terminated by either party with a 30-day written notice if the other party materially breaches any terms and fails to rectify the breach within 30 days.,"Each party acknowledges and agrees that the provisions of this Article 9 are necessary to protect the other party's interests in its confidential information. Any breach of these provisions may result in irreparable harm to the other party, and the remedy at law for such breach may be inadequate. In the event of any breach, the provisions will remain in effect.","Neither party is liable for any special, indirect, consequential, or incidental damages arising from this Agreement, regardless of the cause and under any theory of liability (including negligence).",dataset\LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,"This Development Agreement, dated March 30, 2020, outlines a partnership between two parties (LEA and T&B) for a specific project. The key obligations include LEA developing certain educational programs and T&B providing financial support, marketing, and other resources. The agreement is binding and can only be modified in writing. Each party is required to indemnify the other for any claims, damages, expenses, and legal fees arising from breaches of their representations, warranties, or covenants. Notable risks include potential liabilities for indirect, special, or consequential damages, and the agreement may be terminated if either party breaches the agreement and fails to cure within 30 days, or if either party becomes insolvent or files for bankruptcy. Confidential information shared under this agreement must be kept confidential, except for information that is already publicly known or disclosed with written approval. The agreement also includes a severability clause, ensuring that if any provision is","The Agreement can be terminated immediately by either party if there is a breach of the agreement that can be cured and the breach is not cured within 30 days of written notice. Either party can also terminate immediately if the other party becomes insolvent, files for bankruptcy or insolvency proceedings, and these proceedings are not vacated within 60 days.","All information provided or accessed due to this Agreement is considered Confidential Information, except for information that is already publicly known, becomes generally known, was previously known, learned through other means, or disclosed with written approval.","Neither party will be liable for indirect, special, or consequential damages, including loss of profits, even if advised of the possibility of such damages.",dataset\LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement,"This Affiliate Agreement, dated August 2, 2005, between LinkPlusCorp and Axiometric, outlines their relationship for the sale of AMR (Automatic Meter Reading) product suites. The key obligation for Axiometric is to issue manufacturing requests to LinkPlusCorp, who has the first right of refusal. If LinkPlusCorp declines or cannot meet competitive terms, Axiometric can award the contract to another manufacturer. LinkPlusCorp's main obligation is to manufacture the AMR products according to the provided specifications.

Notable risks and penalties include a material breach of the Agreement if payments are not received within 60 days after their due date. Additionally, both parties agree to keep each other's Confidential Information confidential, with disclosures limited to need-to-know employees bound by similar confidentiality obligations. Liability is capped at fees paid in the prior 12 months, with no liability for indirect or consequential damages. Both parties waive their right to a trial by jury and consent to personal jurisdiction and venue in specified courts.","If payments are not received within 60 days after their due date, it will be considered a material breach of the Agreement",The Receiving Party must keep Confidential Information confidential and use it only for the purpose of performing under this Agreement. Disclosures are limited to need-to-know employees bound by similar confidentiality obligations.,No indirect or consequential damages; aggregate liability capped at fees paid in prior 12 months.,dataset\LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement,"This Development Agreement between Liquidmetal Technologies Inc. and Eutectix outlines the terms for the development of certain technical information. The key obligations include Liquidmetal disclosing confidential information to Eutectix, who must keep it confidential and use it solely for the purpose of this agreement. Eutectix can share the information with its representatives, but only those who are informed of the confidentiality obligations and have a need to know. Notable risks and penalties include potential legal action for breach of confidentiality, and neither party will be liable for indirect, incidental, or consequential damages. The agreement is the entire understanding between the parties and can only be changed with written agreement from both parties.","This Agreement can be terminated by either party if the other party materially breaches the agreement. However, no termination rights accrue until 30 days after the defaulting party is notified in writing of the material breach and fails to cure within the 30-day period following the notice.","The Recipient must keep Discloser’s Confidential Information confidential and use it only for the purpose of this Agreement. Disclosure is limited to Representatives who are informed of Recipient’s obligations, bound by confidentiality, and have a need to know the Confidential Information. Recipient is responsible for enforcing confidentiality among Representatives and for protecting the Confidential Information.","Neither party will be liable to the other for any lost profits, lost revenues, or any other incidental, indirect, punitive, special or consequential damages whatsoever arising out of this Agreement or any order, or out of the performance or breach of this Agreement or any order, even if the party has been advised of the possibility of such damages.",dataset\LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,"This Co-Branding Agreement, dated September 11, 2003, between Lucent Technologies Inc. and mPhase, Inc., outlines the terms for the use of Lucent's branding logo on mPhase's multi-access products. Key obligations include mPhase's right to use the Lucent Co-Branding Logo in approved uses, adherence to specified guidelines, and prompt notification of any unauthorized use of the logo by third parties. Lucent, on the other hand, agrees to review and approve the use of the logo and may inspect the products for compliance. Both parties are exempt from liability for indirect, special, incidental, or consequential damages, with total liability capped at fees paid in the previous 12 months. Termination requires written notice at least 30 days prior to the desired date. The agreement supersedes all previous discussions and replaces all past dealings or industry customs.",This Agreement can be terminated by providing written notice at least 30 days prior to the desired termination date.,"This Agreement is the complete understanding between the parties regarding the subject matter and replaces all previous discussions, proposals, and agreements. It supersedes all past dealings or industry customs.","Neither party will be liable for indirect, special, incidental, or consequential damages, including loss of profits. The total liability for each party for claims related to this Agreement will not exceed the fees paid in the previous 12 months.",dataset\MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement,"Title: Co-Branding Agreement between MusclePharm Corp and Lender (2017)

Summary: This agreement outlines a co-branding partnership between MusclePharm Corp and a Lender. MusclePharm agrees to pay the Lender cash consideration for endorsement services, with the Lender responsible for reporting and paying applicable taxes. Both parties are required to indemnify each other for any claims arising from breaches of warranties or agreements. Key obligations include MusclePharm providing the Lender with an IRS Form 1099 annually, and the Lender maintaining confidentiality of disclosed information. Termination can occur if either party fails to meet specified obligations, with a notice period of three days. Notable risks include potential liabilities for breaches of warranties or agreements, and penalties for unauthorized assignment or disclosure of confidential information.",Termination: Either party can terminate the agreement by giving a written notice if Musclepharm fails to cure the specified defaults to the satisfaction of the terminating party. The termination becomes effective three calendar days after the date of the termination notice.,"Each party must keep confidential all disclosed information, except for information that becomes public, is required for rights enforcement, or is required by law.",No indirect or consequential damages; aggregate liability capped at fees paid in prior 12 months.,dataset\MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement,"Title: Co-Branding Agreement between Neoforma Inc. and VerticalNet Inc.

This Co-Branding Agreement, effective December 2, 1999, outlines the terms and conditions for a partnership between Neoforma Inc. and VerticalNet Inc. The key objective is to collaborate in the co-branding of their medical product listings, with each party benefiting from commissions based on net revenues.

Neoforma Inc. and VerticalNet Inc. act as independent contractors, without any employer-employee, agency, joint venture, or partnership relationship. Each party is responsible for its own acts, debts, liabilities, and omissions.

Both parties must exercise good faith and maintain confidentiality regarding each other's confidential information. Termination can occur with a 30-day written notice if a material breach is not rectified within 30 days.

Neither party will be held liable for indirect, consequential, or incidental damages, except in cases of breach of contract or indemnification obligations. This agreement constitutes the entire agreement between the parties, superseding any prior agreements.","This Agreement can be terminated by either party with a 30-day written notice if the other party materially breaches any term and fails to rectify the breach within 30 days. Certain sections and payment obligations will survive termination, and no third-party beneficiaries are intended.","Neither Party shall use the Confidential Information of the other Party for any purpose other than to fulfill their obligations under this Agreement. Both parties will take reasonable steps to ensure their employees, representatives, and agents do not disclose the Confidential Information.","Neither Party will be liable for any special, indirect, consequential, exemplary or incidental damages arising out of or related to this Agreement, except in cases of breach of Article 13 or indemnification obligations as specified.",dataset\NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement,"This Development Agreement, dated February 28, 2020, between NLS Pharmaceuticals Ltd. and an unspecified party, outlines the terms for the development of certain products. The key obligations for both parties include maintaining confidentiality of shared information, using the information solely for the purposes of this agreement, and disclosing the information only to necessary employees, contractors, or sub-licensees. The agreement allows for early termination in case of material breach by either party, or in the event of a change of control, merger, or consolidation. Notable risks and penalties include potential legal action for breaching confidentiality obligations and limited liability for direct losses resulting from negligent or intentional breaches. The agreement also specifies that no punitive, indirect, consequential, or special damages are allowed.","Early Termination:
- For Material Breach: Upon occurrence of material breach by either party.
- By the Licensor:
- By the Licensee:","The Receiving Party must keep Confidential Information confidential and use it only for the purposes of this Agreement; disclosures are limited to need-to-know employees, contractors, and sub-licensees.","Liability is limited to direct losses resulting from negligent or intentional breaches. No punitive, indirect, consequential, or special damages, business interruptions, loss of revenues, loss of profit, damages, loss of goodwill, or reputational damages are allowed.",dataset\NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,"This Co-Branding Agreement between Paperexchange Com Inc and VerticalNet, effective March 22, 2000, outlines the terms for their collaboration. The parties agree to co-brand their respective platforms, with each party having the right to use the other's trademarks and logos. Key obligations include maintaining confidentiality, performing duties in good faith, and making payments based on revenue sharing. Notable risks include potential termination for cause during the initial term, breach of confidentiality leading to injunctive relief, and no liability for special, indirect, consequential, or incidental damages. The agreement also includes a disclaimer of warranties and an independent contractor clause.","Termination for Cause: If the agreement is terminated during the Initial Term by either party, certain obligations and extensions apply.","Parties must keep each other's Confidential Information confidential and use it only to fulfill their obligations under the Agreement. They must also ensure their employees, representatives, and agents comply with this confidentiality provision.","Neither party will be liable for any special, indirect, consequential, or incidental damages.",dataset\PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1,"The Co-Branding Agreement between PC Quote, Inc. and ABW outlines a partnership for co-branding a financial service. Key obligations include PC Quote providing market data information and ABW promoting the co-branded service. Notable risks and penalties include termination of the agreement if either party breaches material terms and fails to cure within 30 days of notice, and a limitation of liability for each party, with total liability not exceeding fees paid by ABW for the past 12 months. Confidentiality provisions will also survive the termination of the agreement.",This Agreement can be terminated by a party if the other party is in material breach and fails to cure within 30 days of receiving notice.,"Confidentiality provisions will survive the completion, expiration, termination or cancellation of this Agreement.","No party will be liable for indirect, special, incidental or consequential damages, including loss of profits. The total liability of each party will not exceed the fees paid by ABW for the services during the most recent 12 months of the Agreement. This limitation applies regardless of the form of any legal or equitable action. Each party's liability is their sole remedy, and neither party will be responsible for lost profits or special damages.",dataset\PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2,"This amendment, dated December 9, 1996, modifies the Co-Branding Agreement between PC Quote, Inc. (PCQ) and A.B. Watley, Inc. (ABW). The primary purpose is to define the terms for their joint branding efforts. Key obligations include maintaining confidentiality of shared information, using it solely for Agreement performance, and limiting disclosures to necessary employees bound by similar obligations. Either party can terminate the Agreement with a 30-day written notice if the other breaches terms and fails to correct within 30 days. Notable risks and penalties include limited liability for indirect, special, incidental, or consequential damages, with total liability for each party capped at fees paid in the previous 12 months.",This Agreement can be terminated by either party with a 30-day written notice if the other party materially breaches any terms and fails to correct the breach within 30 days.,The Receiving Party must keep Confidential Information confidential and use it only to perform the Agreement; disclosures limited to need-to-know employees bound by similar obligations.,"Neither party will be responsible for indirect, special, incidental, or consequential damages, such as loss of profits. The total liability for each party regarding claims related to this agreement will not exceed the fees paid in the previous 12 months.",dataset\PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,"This Software Development Agreement, dated February 11, 2020, outlines the terms for Pelican Delivers Inc. to engage Seattle Software Developers for the development of additional features for their software. The project includes POS integration, Google Maps API, payment processing, ID verification, reporting, and a customer-facing web application.

Key obligations for Seattle Software Developers include developing the specified features, maintaining confidentiality, and adhering to the agreed-upon timeline. Pelican Delivers Inc. is responsible for providing necessary resources, approving the design, and ensuring timely payments.

Notable risks and penalties include termination with a 30-day written notice for material breaches, potential liability limitations, and a cap on each party's total liability at the fees paid in the previous 12 months.",This Agreement can be terminated by either party with a 30-day written notice if the other party materially breaches any terms and fails to correct the breach within 30 days.,Confidentiality: The Receiving Party must keep Confidential Information confidential and disclose it only to employees on a need-to-know basis who are bound by similar confidentiality obligations.,"Neither party will be liable for indirect, special, incidental, or consequential damages, including loss of profits. The total liability of each party for claims arising from this Agreement will not exceed the fees paid in the previous 12 months.",dataset\PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1.pdf
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2,"Title: Development Agreement between Pelican Delivers Inc. and Client

Purpose: This agreement outlines the terms for a development project between Pelican Delivers Inc. (Developer) and a client (Client). The Developer will provide services, using the Client's confidential information, procedures, and intellectual property.

Key Obligations:
- Developer: Complete the project, maintain confidentiality, comply with laws, and indemnify the Client against losses arising from the project or Client's violations of laws.
- Client: Provide necessary information, ensure legal compliance, and indemnify the Developer against losses arising from the Client's breach of the agreement or violations of laws.

Notable Risks/Penalties: Breach of confidentiality may result in legal action seeking injunctive relief, and either party may terminate the agreement at any time.",Either Party has the right to terminate this Agreement at any time during the agreement's term for any reason.,The Receiving Party must keep Confidential Information confidential and use it only to perform the Agreement; disclosures limited to need-to-know employees bound by similar obligations.,"Developer is liable for defending, indemnifying, and holding harmless Client, its members, owners, officers, employees, independent contractors, and agents from all losses, claims, liabilities, damages, costs, and expenses, including attorneys' fees, related to any claim or action against Developer arising from Client's breach of the Agreement, Client's agreements with its clients or customers, Client's gross negligence or willful misconduct, Client's violations of federal, state, or local laws, or third-party rights.",dataset\PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.pdf
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,"Title: Development Agreement between PhaseBio Pharmaceuticals Inc. and [Redacted]

Purpose: This agreement outlines the terms for a pharmaceutical development project between PhaseBio Pharmaceuticals Inc. (PB) and another party.

Key Obligations:
- PB is responsible for executing security agreements, pledge agreements, and taking further action to perfect or continue the security interest of the other party (SFJ).
- Both parties must maintain confidentiality of shared information, except when authorized or agreed in writing.
- PB must ensure that any subcontractors involved in the project have adequate Professional Liability Insurance.
- The agreement can be terminated if either party breaches the agreement materially, with breaching parties facing potential legal consequences.

Notable Risks/Penalties:
- Failure to maintain Professional Liability Insurance for subcontractors may lead to penalties.
- Material breach of the agreement may result in immediate termination and potential legal action.","This Agreement can be terminated immediately if there is a material breach of the agreement by either party, given that the breaching party has received written notice of the breach.",Receiving Party must keep the other Party's Confidential Information confidential and use it only for the purpose of performing this Agreement or the Program Transfer Agreement. Disclosures are limited to necessary persons bound by confidentiality and non-use obligations.,Parties must have Professional Liability Insurance for subcontractors providing professional services for Clinical Trials. The insurance must have a minimum limit and coverage must be maintained for a certain period after the Agreement ends or the last subject is released from the Clinical Trials.,dataset\PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,"Title: Co-Branding Agreement between Nettaxi.com and SpinRecords.com

This Co-Branding Agreement outlines the terms for a partnership between Nettaxi.com and SpinRecords.com to collaborate on branded web pages. Key obligations include negotiating additional services as needed, maintaining independence, and keeping confidential information secure. Notable risks include termination for insolvency, potential liabilities, and obligations to protect confidential information. Each party may terminate the agreement if the other becomes insolvent, and neither party will be liable for indirect, special, incidental, or consequential damages. Confidential information must be kept confidential and used only to perform the agreement, with disclosures limited to need-to-know employees bound by similar confidentiality obligations.","This Agreement can be terminated by a party for cause immediately upon the following conditions:
- Insolvency Event: Either party can terminate this Agreement if the other party becomes insolvent, files for bankruptcy, or a receiver, trustee, custodian, or similar agent is appointed for the other party or any substantial part of its property.",The Receiving Party must keep Confidential Information confidential and use it only to perform the Agreement; disclosures limited to need-to-know employees bound by similar confidentiality obligations.,"Neither party will be liable to the other for any indirect, special, incidental, or consequential damages, including loss of profits, under any contract, strict liability, negligence, or other legal or equitable theory, in connection with the subject matter of this Agreement.",dataset\RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement,"Title: Co-Branding Agreement between RandWorldwide Inc. and Dassault Systemes Purpose: This agreement outlines the terms for the joint marketing, promotion, and sale of a Co-Branded Service by RandWorldwide Inc. (Rand) and Dassault Systemes (Dassault). Key Obligations: - Rand and Dassault agree to use each other's Marks in the Co-Branded Service, with the condition that they will not use the other party's Marks in a disparaging or negative manner. - Each party retains all rights to their respective Marks, and the right to use the other party's Marks will terminate upon agreement termination. - Joint ownership of Know-How developed or shared under this agreement. - Each party may subcontract services necessary to perform their obligations, provided subcontractors comply with the agreement's terms and conditions. - Each party shall bear their own expenses, except as expressly provided for in the agreement. - The agreement may be assigned or transferred, but the assigning",This Agreement can be terminated by either party if the other party breaches a significant term and fails to correct it within 60 days after receiving written notice.,All communications and information disclosed under this Agreement are subject to the terms and conditions of the Confidentiality Agreement (CNDA).,"Neither party will be liable for indirect, special, incidental, punitive or consequential damages, losses, or expenses, including but not limited to loss of use, loss of profits, or loss of goodwill, except for liability arising from Section 9.3 (Intellectual Property Infringement)",dataset\RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,"Title: Development Agreement between Reed's Inc. and [Company]

Purpose: This agreement outlines the terms for the development of certain deliverables by [Company] for Reed's Inc.

Key Obligations:
- Reed's Inc.: Obtain necessary approvals, ensure non-violation of other contracts, and protect Reed's trade secrets.
- [Company]: Develop deliverables according to specifications, ensure intellectual property does not infringe on third parties, and maintain confidentiality of Reed's confidential information.

Notable Risks/Penalties:
- Breach of contract: Either party can terminate the agreement if the other party breaches terms and fails to cure within 30 days of notice.
- Confidentiality: Failure to maintain confidentiality may result in penalties, including the Receiving Party being required to take steps to recover and prevent unauthorized use or dissemination of Confidential Information.
- Liability: Neither party is liable for consequential, indirect, incidental, special, exemplary, punitive, or enhanced damages, lost profits or revenues, or diminution in value.",Termination: Either party can terminate this Agreement if the other party breaches any terms and fails to cure the breach within 30 days of receiving written notice.,The Receiving Party must keep Confidential Information confidential and use it only for the purposes of this Agreement; disclosures to third parties require prior written consent of the Disclosing Party. Access to Confidential Information is limited to those with a need to know and who are bound by confidentiality obligations.,"Liability: Neither party is liable for consequential, indirect, incidental, special, exemplary, punitive or enhanced damages, lost profits or revenues or diminution in value arising from breach of the agreement or any claim under it, regardless of foreseeability, advice of possibility, or the legal or equitable theory upon which the claim is based.",dataset\ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"This Development Agreement between Revolution Medicines Inc. and Sanofi outlines a collaboration for the development, manufacture, and commercialization of certain product candidates. Key obligations include Sanofi's responsibility for funding development activities and providing certain technical and regulatory support, while Revolution Medicines Inc. will conduct research and development, and provide certain intellectual property. Notable risks and penalties include termination by Sanofi for convenience, potential liabilities for actions or inactions of affiliates, sublicensees, or subcontractors, and confidentiality obligations for all parties involved.","Sanofi may terminate this Agreement for convenience by providing written notice to RevMed, either in its entirety or on a country-by-country or Product-by-Product basis.","The Party receiving Confidential Information must keep it confidential and use it only for the purposes of this Agreement. The Confidential Information includes proprietary Know-How, unpublished patent applications, and other non-public information and data of a financial, commercial, business, operational, or technical nature.","Each party is liable for actions or inactions of their affiliates, sublicensees, or subcontractors that would breach the agreement. Parties must require these entities to agree in writing to comply with the agreement's terms. If a party hires a subcontractor after the effective date, the subcontractor must be bound by written confidentiality and non-use obligations.",dataset\RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement,"This Development Agreement between Ritter Pharmaceuticals Inc. and Qualigen, Inc. outlines the terms for the development of certain products. The key obligations of Ritter Pharmaceuticals include developing the products according to a specified development plan, maintaining confidentiality of Qualigen's Confidential Information, and indemnifying Qualigen from certain claims. Qualigen, on the other hand, is responsible for providing certain Confidential Information, and indemnifying Ritter Pharmaceuticals from claims related to its products. The agreement allows for termination under two conditions: if Qualigen fails to meet a milestone in the development plan, or if either party gives 90 days' written notice of impending termination. Notable risks and penalties include potential breach of confidentiality, which could result in financial penalties, and failure to meet development plan milestones, which could lead to termination of the agreement.","Sekisui has the right to terminate this Agreement with written notice. Termination can occur under two conditions: (i) if Qualigen fails to meet a milestone in the Development Plan, or (ii) at any time with 90 days' written notice of impending termination.","Parties shall keep each other's Confidential Information confidential and shall not disclose or use it except as expressly allowed by this Agreement, for the purposes of this Agreement, or in accordance with customary permitted practice.",Neither Party will be held responsible or liable for any disclosure or use of Confidential Information by a Third Party or Affiliate that would constitute a breach of this Agreement if committed by the Party itself.,dataset\RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,"This Affiliate Agreement, between SouthernStar Energy Inc. and element 5, outlines terms for promoting software products on element 5's website. Key obligations include element 5 providing order processing, payment forwarding, and end-user service, while the Software Publisher offers technical support. The Software Publisher is responsible for providing advertising material for integration into the Affiliate's website. Notable risks and penalties include the Affiliate's liability for the content of its website and the obligation to delete links to the Software Publisher's websites upon termination. Element 5 reserves the right to reject queries and orders that do not meet its requirements. Both parties can cancel the agreement at any time, but additional agreements, changes, or additions require written confirmation. Liability is limited, but does not apply to claims arising from initial incapacity, justifiable impossibility, or product liability. If the Software Publisher violates an essential obligation, the obligation to pay restitution is limited to","Upon termination of the agreement, the Affiliate is obligated to delete all links referring to the Web sites of the Software Publisher from its own website.","Additional agreements, changes, or additions are valid only if confirmed in writing. This includes the warranting of properties.","The limitation of liability does not apply to claims arising from initial incapacity, justifiable impossibility, or product liability. If the Software Publisher violates an essential obligation, the obligation to pay restitution is limited to typical damages.",dataset\SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement,"This Affiliate Agreement, between SteelVaultCorp and Marketing Affiliate, outlines their partnership for data transfer and database coordination. Key obligations include mutual agreement on operational specifications, non-solicitation of Equidata's existing business customers, and maintaining confidentiality of each other's proprietary information. Notable risks and penalties include termination for cause with 30-day notice or immediate termination if Marketing Affiliate defaults on payment or breaches the Agreement, and liability limitations for indirect or consequential damages, with aggregate liability capped at fees paid in the prior 12 months.","This Agreement can be terminated by either party with cause after providing a 30-day written notice. If Marketing Affiliate defaults on payment or breaches this Agreement, Equidata can terminate the Agreement without giving notice to Marketing Affiliate.","The Receiving Party must keep the Disclosing Party's Confidential and Proprietary Information confidential and use it only for the purpose of performing this Agreement. The information received or collected by Marketing Affiliate about its Customers or potential Customers, including information used to enroll Customers, is considered Proprietary and will not be used by Equidata in any manner other than as outlined in the Agreement.",No indirect or consequential damages; aggregate liability capped at fees paid in prior 12 months.,dataset\SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,"This Co-Branding Agreement, dated May 3, 1999, between Theglobe.com Inc. and Boxlot, outlines the terms for a partnership to jointly market and provide services. Key obligations include Boxlot granting equity to Theglobe, making payments as detailed in Exhibit A, and complying with all applicable laws. Theglobe, in turn, will provide services to Boxlot. Notable risks and penalties include termination for material breach, potential liability limitations, and a cap on liability for Boxlot at the amount it pays to Theglobe under the agreement. Both parties are independent contractors and have no confidential relationship.","Termination: Either party can terminate this Agreement by providing written notice if the other party materially breaches the agreement and fails to cure within 15 days, or as specified in Section 2.6.",The parties are independent contractors and have no confidential relationship.,"Neither party will be liable for indirect, special, incidental, or consequential damages, regardless of the cause (including negligence). This exclusion applies to all claims arising from or in connection with the agreement, except for claims under section 10 or failure to pay under section 6. In no case will either party be liable to the other for an amount greater than the amount Boxlot pays to theGlobe under this agreement.",dataset\TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf
